id;marca;modelo
1;CHINT;SCA3KTL-PS1/EU
2;CHINT;SCA5KTL-PSM1/EU
3;CHINT;SCA6KTL-PSM1/EU
4;CHINT;SCA7.5KTL-PSM/EU
5;CHINT;SCA8KTL-PSM/EU
6;CHINT;SCA10KTL-PSM/EU
7;HOPEWIND;HSSP3K-G01
8;HOPEWIND;HSSP4K-G01
9;HOPEWIND;HSSP5K-G01
10;HOPEWIND;HSSP6K-G01
11;HOPEWIND;HSSP8K-G01
12;HOPEWIND;HSSP10K-G01
13;HOPEWIND;HopeSun 10KTL-L
14;HOPEWIND;HopeSun 12KTL-L
15;HOPEWIND;HOPESUN 15KTL
16;HOPEWIND;HopeSun 15KTL-L
17;HOPEWIND;HopeSun 17KTL
18;HOPEWIND;HopeSun 17KTL-L
19;HOPEWIND;HopeSun 20KTL
20;HOPEWIND;HopeSun 24KTL-L
21;HOPEWIND;HopeSun 25KTL
22;HOPEWIND;HopeSun 30KTL
23;HOPEWIND;HopeSun 30KTL-L
24;HOPEWIND;HOPESUN 33KTL
25;HOPEWIND;HopeSun 35KTL-L
26;HOPEWIND;HOPESUN 40KTL
27;HOPEWIND;HopeSun 43KTL-L
28;HOPEWIND;HOPESUN 50KTL
29;HOPEWIND;HOPESUN 60KTL
30;HOPEWIND;HopeSun 60KTL-L
31;HOPEWIND;HopeSun 65KTL-L
32;HOPEWIND;HOPESUN 75KTL
33;HOPEWIND;HOPESUN 75KTL OLD
34;HOPEWIND;HOPESUN 100KTL
35;HOPEWIND;HOPESUN 110KTL
36;HOPEWIND;HOPESUN 250KTL
37;HUAWEI;3KTL-L1
38;HUAWEI;4KTL-L1
39;HUAWEI;5KTL-L1
40;HUAWEI;6KTL-L1
41;HUAWEI;7.5L-LC0
42;HUAWEI;10K-LC0
43;HUAWEI;12KTL-MB0
44;HUAWEI;15KTL-MB0
45;HUAWEI;20KTL-MB0
46;HUAWEI;20KTL-M2
47;HUAWEI;25KTL-MB0
48;HUAWEI;25KTL-M5
49;HUAWEI;30KTL-M3
50;HUAWEI;36KTL-M3
51;HUAWEI;40KTL-M3
52;HUAWEI;50KTL-M3
53;HUAWEI;75KTL-M1
54;HUAWEI;100KTL-M1 PRO
55;HUAWEI;100KTL-M2
56;HUAWEI;250KTL-H1
57;HUAWEI;20KTL-M3
58;HUAWEI;50K-MGL0
59;HUAWEI;75K-MGL0
60;LIVOLTEK;GT3-12KD1
61;LIVOLTEK;GT3-15K-D1
62;LIVOLTEK;GT3-17KD1
63;LIVOLTEK;GT3-20KD1
64;LIVOLTEK;GT3-22KD1
65;LIVOLTEK;GT3-25KD1
66;SAJ;R6-10K-S3-18
67;SAJ;H2-5K-LS2
68;SAJ;H2-7.5K-LS2
69;SAJ;H2-10K-LS2
70;SOFAR;3.3KTL2-G3
71;SOFAR;4KTL2-G3
72;SOFAR;5KTLM-G3
73;SOFAR;6KTLM-G3
74;SOFAR;7,5KTLM-G3-BR
75;SOFAR;10KTLM-G3
76;SOFAR;10,5KTLM-G3
77;SOFAR;15KTLX-G3P
78;SOFAR;15KTLX-G3-LV
79;SOFAR;20KTLX-G3
80;SOFAR;20KTLX2-G3P
81;SOFAR;20KTLX-G3-LV
82;SOFAR;25KTLX-G3
83;SOFAR;25KTLX-G3P
84;SOFAR;25KTLX-G3-LV
85;SOFAR;30KTLX-G3
86;SOFAR;30KTLX-G3-LV
87;SOFAR;40KTLX-G3
88;SOFAR;50KTLX-G3
89;SOFAR;50KTLX-G4-LV
90;SOFAR;60KTLX2-G3
91;SOFAR;60KTLX-G4-LV
92;SOFAR;75KTLX-G3
93;SOFAR;75KTLX-G4-LV
94;SOFAR;100KTLX-G4
95;SOFAR;110KTLX-G4
96;SOFAR;125KTLX-G4
97;SOFAR;250KTL-HV
98;SOFAR;HYD-5K-LSP1
99;SOFAR;HYD-6K-LSP1
100;SOFAR;HYD-7.5K-LSP1
101;SOFAR;HYD-10K-LSP1
102;SOLIS;S5-GR3P15K
103;SOLIS;S5-GR3P20K
104;SOLIS;S5-GC20K-LV
105;SOLIS;S5-GC25K-LV
106;SOLIS;S5-GC30K-LV
107;SOLIS;S5-GC50K
