id;marca;modelo
1;SENGI;(550W) S 1S72
2;ZNSHINE;(560W) ZXM7-UHLD144-560
3;ZNSHINE;(555W) ZXM7-NPLD144-555/M
4;ZNSHINE;(585W) ZXMR-UHLD132-585
5;ZNSHINE;(550W) ZXMR-UHLD132-550
6;ZNSHINE;(700W) ZXI8-GPLDD132-700
7;ZNSHINE;(650W) ZXNR-BD132-650
8;ZNSHINE;(730W) ZXN8-BD132-730
9;CONSORT SOLAR;(555W) CST-M10-72H
10;LUXEN;(575W) LNVU-575ND
11;RUNDA SOLAR;(585W) RS8585S8-144GANT
12;RONMA SOLAR;(570W) RM-570W-182M-144TB
13;RONMA SOLAR;(585W) RM-585-182M/144TB
14;RONMA SOLAR;(610W) RM-610-182R/132TB
15;RONMA SOLAR;(700W) RM-700-210M/132TB
16;JINKO SOLAR;(640W) 66HL4M-BDV-640
17;JINKO SOLAR;(730W) 66HL5-BDV-730
18;JINKO SOLAR;(620W) 66HL4M-BDV-620W
19;TRINA SOLAR;(620W) TSM-NEG19RC.20 620W
20;TRINA SOLAR;(625W) TSM-NEG19RC.20 625W
21;TRINA SOLAR;(570W) TSM-DEG19RC.20-570
22;RENEPV;(585W) ZY585M10NHB-144
23;YHSUNPROO;(625W) SPDG625-N132R12
24;YHSUNPROO;(585W) SPDG585-N144M10
